"filename", "language", "JavaScript", "Markdown", "JSON", "SQL", "comment", "blank", "total"
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/README.md", "Markdown", 0, 306, 0, 0, 0, 88, 394
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/controllers/admin.js", "JavaScript", 132, 0, 0, 0, 6, 23, 161
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/controllers/index.js", "JavaScript", 288, 0, 0, 0, 9, 15, 312
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/database/consultas.js", "JavaScript", 328, 0, 0, 0, 15, 35, 378
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/database/index.js", "JavaScript", 7, 0, 0, 0, 19, 2, 28
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/middlewares/admin.js", "JavaScript", 124, 0, 0, 0, 0, 8, 132
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/middlewares/index.js", "JavaScript", 611, 0, 0, 0, 20, 17, 648
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/middlewares/validarAdmin.js", "JavaScript", 29, 0, 0, 0, 2, 6, 37
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/package-lock.json", "JSON", 0, 0, 4999, 0, 0, 1, 5000
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/package.json", "JSON", 0, 0, 28, 0, 0, 1, 29
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/routes/admin.js", "JavaScript", 25, 0, 0, 0, 1, 6, 32
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/routes/index.js", "JavaScript", 44, 0, 0, 0, 2, 4, 50
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/scripts_bd/script_crear_tablas.sql", "SQL", 0, 0, 0, 88, 0, 9, 97
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/server/index.js", "JavaScript", 12, 0, 0, 0, 1, 5, 18
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/tests/server.spec.js", "JavaScript", 66, 0, 0, 0, 5, 10, 81
"/Users/felipesaavedra/Documents/Bootcamp/Fullstack/tienda-libros/backend/utils/index.js", "JavaScript", 38, 0, 0, 0, 0, 2, 40
"Total", "-", 1704, 306, 5027, 88, 80, 232, 7437
