1,Paulo Coelho
2,Oscar Wilde
3,Douglas Crockford
4,Robert Louis Stevenson
5,F. Scott Fitzgerald
6,Mary Shelley
7,Patrick Rothfuss
8,Jane Austen
9,Robert C. Martin
10,Harper Lee
11,Miguel de Cervantes
12,J.R.R. Tolkien
13,Arthur Conan Doyle
14,George Orwell
15,Ernest Hemingway
16,Carlos Ruiz Zafón
17,Dan Brown
18,J.K. Rowling
19,J.D. Salinger
20,León Tolstói
21,Herman Melville
22,Brian W. Kernighan\, Dennis M. Ritchie
23,Torcuato Luca de Tena
24,Victor Hugo
25,Gabriel García Márquez
26,Daniel Defoe
27,Eric Matthes
28,Bram Stoker
29,Louisa May Alcott
30,Julio Verne
31,Julio Cortázar
32,Homero
33,Fiodor Dostoievski
34,Franz Kafka
35,Mario Vargas Llosa
36,Antoine de Saint-Exupéry
